paper_id,title,year,url,arxiv_id,primary_category,categories,pdf_url,topic,reason
P0001,3D Generation for Embodied AI and Robotic Simulation: A Survey,2026,http://arxiv.org/abs/2604.26509v3,2604.26509v3,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/2604.26509v3,,ranked_by=relevance;score=6;prior_survey
P0002,Domain-Adaptive Communication-Rate Optimization for Sim-to-Real Humanoid-Robot Wireless XR Teleoperation,2026,http://arxiv.org/abs/2605.19293v1,2605.19293v1,cs.IT,"cs.IT,cs.LG,cs.RO",https://arxiv.org/pdf/2605.19293v1,,ranked_by=relevance;score=11
P0003,Self-adapting Robotic Agents through Online Continual Reinforcement Learning with World Model Feedback,2026,http://arxiv.org/abs/2603.04029v1,2603.04029v1,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2603.04029v1,,ranked_by=relevance;score=10
P0004,Self-Supervised Sim-to-Real Adaptation for Visual Robotic Manipulation,2019,http://arxiv.org/abs/1910.09470v1,1910.09470v1,cs.RO,"cs.RO,cs.CV",https://arxiv.org/pdf/1910.09470v1,,ranked_by=relevance;score=10
P0005,X-Sim: Cross-Embodiment Learning via Real-to-Sim-to-Real,2025,http://arxiv.org/abs/2505.07096v5,2505.07096v5,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2505.07096v5,,ranked_by=relevance;score=9
P0006,AdaptSim: Task-Driven Simulation Adaptation for Sim-to-Real Transfer,2023,http://arxiv.org/abs/2302.04903v2,2302.04903v2,cs.RO,"cs.RO,cs.LG,eess.SY",https://arxiv.org/pdf/2302.04903v2,,ranked_by=relevance;score=9
P0007,Actuator Reality Shaping for Zero-Shot Sim-to-Real Robot Learning,2026,http://arxiv.org/abs/2607.02205v2,2607.02205v2,cs.RO,cs.RO,https://arxiv.org/pdf/2607.02205v2,,ranked_by=relevance;score=8
P0008,RAPT: Model-Predictive Out-of-Distribution Detection and Failure Diagnosis for Sim-to-Real Humanoid Robots,2026,http://arxiv.org/abs/2602.01515v1,2602.01515v1,cs.RO,"cs.RO,cs.LG",https://arxiv.org/pdf/2602.01515v1,,ranked_by=relevance;score=8
P0009,Sim-To-Real Transfer for Visual Reinforcement Learning of Deformable Object Manipulation for Robot-Assisted Surgery,2024,http://arxiv.org/abs/2406.06092v1,2406.06092v1,cs.RO,cs.RO,https://arxiv.org/pdf/2406.06092v1,,ranked_by=relevance;score=8
P0010,Facilitating Sim-to-real by Intrinsic Stochasticity of Real-Time Simulation in Reinforcement Learning for Robot Manipulation,2023,http://arxiv.org/abs/2304.06056v2,2304.06056v2,cs.RO,"cs.RO,cs.AI",https://arxiv.org/pdf/2304.06056v2,,ranked_by=relevance;score=8
P0011,Embedded out-of-distribution detection on an autonomous robot platform,2021,http://arxiv.org/abs/2106.15965v1,2106.15965v1,cs.RO,cs.RO,https://arxiv.org/pdf/2106.15965v1,,ranked_by=relevance;score=8
P0012,A Framework for Studying Reinforcement Learning and Sim-to-Real in Robot Soccer,2020,http://arxiv.org/abs/2008.12624v1,2008.12624v1,cs.RO,"cs.RO,cs.AI,cs.LG",https://arxiv.org/pdf/2008.12624v1,,ranked_by=relevance;score=8
